Date,BP
03-04-2023,8746
04-04-2023,8541
05-04-2023,8921
06-04-2023,8911
07-04-2023,9599
08-04-2023,9599
09-04-2023,9759
10-04-2023,9251
11-04-2023,9251
12-04-2023,9546
13-04-2023,9546
14-04-2023,9152
15-04-2023,9404
16-04-2023,8014
17-04-2023,8867
18-04-2023,9534
19-04-2023,9723
20-04-2023,9723
21-04-2023,10070
22-04-2023,9898
23-04-2023,9737
24-04-2023,9816
25-04-2023,10580
26-04-2023,10575
27-04-2023,10721
28-04-2023,10609
29-04-2023,10251
30-04-2023,10174
01-05-2023,10049
02-05-2023,9493
03-05-2023,9975
04-05-2023,9964
05-05-2023,10297
06-05-2023,10053
07-05-2023,10128
08-05-2023,10107
09-05-2023,9967
10-05-2023,9921
11-05-2023,10122
12-05-2023,9694
13-05-2023,9949
14-05-2023,10310
15-05-2023,10115
16-05-2023,9879
17-05-2023,9322
18-05-2023,9296
19-05-2023,9079
20-05-2023,9029
21-05-2023,9896
22-05-2023,9875
23-05-2023,9527
24-05-2023,9785
25-05-2023,9477
26-05-2023,9862
27-05-2023,9821
28-05-2023,9650
29-05-2023,9869
30-05-2023,9096
31-05-2023,9288
01-06-2023,9472
02-06-2023,9710
03-06-2023,9716
04-06-2023,9031
05-06-2023,10486
06-06-2023,9473
07-06-2023,9467
08-06-2023,9796
09-06-2023,9260
10-06-2023,9895
11-06-2023,9834
12-06-2023,9369
13-06-2023,10101
14-06-2023,9834
15-06-2023,10089
16-06-2023,9594
17-06-2023,9556
18-06-2023,9860
19-06-2023,9853
20-06-2023,9902
21-06-2023,9651
22-06-2023,9956
23-06-2023,10191
24-06-2023,10100
25-06-2023,9857
26-06-2023,10122
27-06-2023,10340
28-06-2023,10501
29-06-2023,9617
30-06-2023,10667
01-07-2023,10799
02-07-2023,10745
03-07-2023,10691
04-07-2023,8872
05-07-2023,8861
06-07-2023,9844
07-07-2023,9839
08-07-2023,10051
09-07-2023,9955
10-07-2023,8613
11-07-2023,9096
12-07-2023,9750
13-07-2023,10207
14-07-2023,9711
15-07-2023,9759
16-07-2023,9977
17-07-2023,9477
18-07-2023,10203
19-07-2023,9807
20-07-2023,10021
21-07-2023,10157
22-07-2023,9868
23-07-2023,10157
24-07-2023,9954
25-07-2023,9950
26-07-2023,9713
27-07-2023,10576
28-07-2023,10257
29-07-2023,9811
30-07-2023,9623
31-07-2023,9677
01-08-2023,9456
02-08-2023,9958
03-08-2023,10312
04-08-2023,10881
05-08-2023,10224
06-08-2023,10488
07-08-2023,9945
08-08-2023,10616
09-08-2023,10926
10-08-2023,10586
11-08-2023,10689
12-08-2023,10353
13-08-2023,10218
14-08-2023,10447
15-08-2023,10190
16-08-2023,10353
17-08-2023,10454
18-08-2023,10543
19-08-2023,10298
20-08-2023,9982
21-08-2023,10241
22-08-2023,10335
23-08-2023,10652
24-08-2023,10666
25-08-2023,10302
26-08-2023,10146
27-08-2023,10474
28-08-2023,10594
29-08-2023,10247
30-08-2023,10385
31-08-2023,10454
01-09-2023,10524
02-09-2023,10872
03-09-2023,10074
04-09-2023,10277
05-09-2023,10271
06-09-2023,9866
07-09-2023,9775
08-09-2023,10147
09-09-2023,9484
10-09-2023,9951
11-09-2023,10139
12-09-2023,10557
13-09-2023,10252
14-09-2023,10758
15-09-2023,10973
16-09-2023,10990
17-09-2023,10739
18-09-2023,10995
19-09-2023,11255
20-09-2023,11115
21-09-2023,10953
22-09-2023,10641
23-09-2023,10610
24-09-2023,10712
25-09-2023,10818
26-09-2023,11169
27-09-2023,11368
28-09-2023,11189
29-09-2023,11158
30-09-2023,11418
01-10-2023,11835
02-10-2023,10831
03-10-2023,10420
04-10-2023,11165
05-10-2023,11265
06-10-2023,11460
07-10-2023,11619
08-10-2023,11659
09-10-2023,11642
10-10-2023,11907
11-10-2023,11553
12-10-2023,11547
13-10-2023,11610
14-10-2023,11220
15-10-2023,11600
16-10-2023,11832
17-10-2023,11809
18-10-2023,11671
19-10-2023,11388
20-10-2023,11341
21-10-2023,11303
22-10-2023,11360
23-10-2023,11378
24-10-2023,11457
25-10-2023,11237
26-10-2023,11318
27-10-2023,11421
28-10-2023,11168
29-10-2023,11306
30-10-2023,10914
31-10-2023,11171
01-11-2023,10876
02-11-2023,11116
03-11-2023,11022
04-11-2023,10874
05-11-2023,11019
06-11-2023,10998
07-11-2023,11197
08-11-2023,10917
09-11-2023,10796
10-11-2023,10863
11-11-2023,11102
12-11-2023,11066
13-11-2023,10981
14-11-2023,11085
15-11-2023,10960
16-11-2023,10651
17-11-2023,10405
18-11-2023,10186
19-11-2023,10309
20-11-2023,10353
21-11-2023,10388
22-11-2023,9972
23-11-2023,10242
24-11-2023,10731
25-11-2023,10950
26-11-2023,10983
27-11-2023,10775
28-11-2023,10627
29-11-2023,10456
30-11-2023,10163
01-12-2023,10315
02-12-2023,9468
03-12-2023,10060
04-12-2023,9630
05-12-2023,9672
06-12-2023,9737
07-12-2023,9436
08-12-2023,9455
09-12-2023,9883
10-12-2023,10360
11-12-2023,10306
12-12-2023,10062
13-12-2023,9908
14-12-2023,9966
15-12-2023,9888
16-12-2023,10066
17-12-2023,10141
18-12-2023,9903
19-12-2023,9891
20-12-2023,9961
21-12-2023,10067
22-12-2023,9912
23-12-2023,10238
24-12-2023,10350
25-12-2023,10387
26-12-2023,11102
27-12-2023,11304
28-12-2023,11068
29-12-2023,11881
30-12-2023,12313
31-12-2023,12170
01-01-2024,12164
02-01-2024,11979
03-01-2024,12005
04-01-2024,11487
05-01-2024,12256
06-01-2024,11922
07-01-2024,11793
08-01-2024,10730
09-01-2024,10172
10-01-2024,10703
11-01-2024,10390
12-01-2024,10798
13-01-2024,11280
14-01-2024,10699
15-01-2024,10728
16-01-2024,10894
17-01-2024,10506
18-01-2024,10623
19-01-2024,10404
20-01-2024,10774
21-01-2024,10620
22-01-2024,9464
23-01-2024,10372
24-01-2024,10592
25-01-2024,10718
26-01-2024,10511
27-01-2024,10383
28-01-2024,10457
29-01-2024,9421
30-01-2024,9821
31-01-2024,9309
01-02-2024,10135
02-02-2024,10582
03-02-2024,10330
04-02-2024,10615
05-02-2024,10605
06-02-2024,10144
07-02-2024,9556
08-02-2024,11024
09-02-2024,11063
10-02-2024,10952
11-02-2024,10647
12-02-2024,10414
13-02-2024,10403
